Academic_Year,Data,Count,Institute_Type
2024-2025,Applications,21402,PhD
2024-2025,Offers,3373,PhD
2024-2025,Acceptances,1043,PhD
2024-2025,Enrolled,935,PhD
2024-2025,count,88,PhD
2023-2024,Applications,22838,PhD
2023-2024,Offers,3750,PhD
2023-2024,Acceptances,1141,PhD
2023-2024,Enrolled,1025,PhD
2023-2024,count,89,PhD
2022-2023,Applications,22957,PhD
2022-2023,Offers,3674,PhD
2022-2023,Acceptances,1072,PhD
2022-2023,Enrolled,1002,PhD
2022-2023,count,93,PhD
2021-2022,Applications,20345,PhD
2021-2022,Offers,2478,PhD
2021-2022,Acceptances,886,PhD
2021-2022,Enrolled,778,PhD
2021-2022,count,62,PhD
2020-2021,Applications,15862,PhD
2020-2021,Offers,2200,PhD
2020-2021,Acceptances,769,PhD
2020-2021,Enrolled,754,PhD
2020-2021,count,52,PhD
2019-2020,Applications,19039,PhD
2019-2020,Offers,3266,PhD
2019-2020,Acceptances,1070,PhD
2019-2020,Enrolled,1020,PhD
2019-2020,count,71,PhD
2018-2019,Applications,23551,PhD
2018-2019,Offers,3676,PhD
2018-2019,Acceptances,1187,PhD
2018-2019,Enrolled,1114,PhD
2018-2019,count,84,PhD
2017-2018,Applications,21829,PhD
2017-2018,Offers,3290,PhD
2017-2018,Acceptances,1117,PhD
2017-2018,Enrolled,1068,PhD
2017-2018,count,73,PhD
2024-2025,Applications,10786,MA with PhD
2024-2025,Offers,5418,MA with PhD
2024-2025,Acceptances,1987,MA with PhD
2024-2025,Enrolled,1462,MA with PhD
2024-2025,count,65,MA with PhD
2023-2024,Applications,11324,MA with PhD
2023-2024,Offers,5374,MA with PhD
2023-2024,Acceptances,2038,MA with PhD
2023-2024,Enrolled,1454,MA with PhD
2023-2024,count,62,MA with PhD
2022-2023,Applications,12433,MA with PhD
2022-2023,Offers,5402,MA with PhD
2022-2023,Acceptances,2137,MA with PhD
2022-2023,Enrolled,1570,MA with PhD
2022-2023,count,66,MA with PhD
2021-2022,Applications,10884,MA with PhD
2021-2022,Offers,5114,MA with PhD
2021-2022,Acceptances,1982,MA with PhD
2021-2022,Enrolled,1650,MA with PhD
2021-2022,count,45,MA with PhD
2020-2021,Applications,9161,MA with PhD
2020-2021,Offers,4525,MA with PhD
2020-2021,Acceptances,1644,MA with PhD
2020-2021,Enrolled,1094,MA with PhD
2020-2021,count,36,MA with PhD
2019-2020,Applications,8162,MA with PhD
2019-2020,Offers,4823,MA with PhD
2019-2020,Acceptances,1561,MA with PhD
2019-2020,Enrolled,1279,MA with PhD
2019-2020,count,46,MA with PhD
2018-2019,Applications,7974,MA with PhD
2018-2019,Offers,4483,MA with PhD
2018-2019,Acceptances,1661,MA with PhD
2018-2019,Enrolled,1394,MA with PhD
2018-2019,count,47,MA with PhD
2017-2018,Applications,6590,MA with PhD
2017-2018,Offers,3746,MA with PhD
2017-2018,Acceptances,1353,MA with PhD
2017-2018,Enrolled,1189,MA with PhD
2017-2018,count,40,MA with PhD
2024-2025,Applications,1501,MA Only
2024-2025,Offers,831,MA Only
2024-2025,Acceptances,550,MA Only
2024-2025,Enrolled,258,MA Only
2024-2025,count,23,MA Only
2023-2024,Applications,1551,MA Only
2023-2024,Offers,806,MA Only
2023-2024,Acceptances,390,MA Only
2023-2024,Enrolled,283,MA Only
2023-2024,count,24,MA Only
2022-2023,Applications,1284,MA Only
2022-2023,Offers,576,MA Only
2022-2023,Acceptances,355,MA Only
2022-2023,Enrolled,230,MA Only
2022-2023,count,23,MA Only
2021-2022,Applications,730,MA Only
2021-2022,Offers,484,MA Only
2021-2022,Acceptances,210,MA Only
2021-2022,Enrolled,181,MA Only
2021-2022,count,17,MA Only
2020-2021,Applications,852,MA Only
2020-2021,Offers,621,MA Only
2020-2021,Acceptances,297,MA Only
2020-2021,Enrolled,206,MA Only
2020-2021,count,15,MA Only
2019-2020,Applications,1260,MA Only
2019-2020,Offers,696,MA Only
2019-2020,Acceptances,397,MA Only
2019-2020,Enrolled,309,MA Only
2019-2020,count,18,MA Only
2018-2019,Applications,1013,MA Only
2018-2019,Offers,758,MA Only
2018-2019,Acceptances,475,MA Only
2018-2019,Enrolled,405,MA Only
2018-2019,count,22,MA Only
2017-2018,Applications,1342,MA Only
2017-2018,Offers,670,MA Only
2017-2018,Acceptances,322,MA Only
2017-2018,Enrolled,292,MA Only
2017-2018,count,17,MA Only
