Acadept,Degname,Major,Acad Yr,Count of OSIR
ANTH,BA,Anthropology (BA),2024,30
ANTH,BA,Anthropology (BA),2023,32
ANTH,BA,Anthropology (BA),2022,26
ANTH,BA/BS,Anthropology (BS),2021,11
ANTH,BA/BS,Anthropology (BA),2021,27
ANTH,BA/BS,Anthropology (BS),2020,7
ANTH,BA/BS,Anthropology (BA),2020,22
ANTH,BA/BS,Anthropology (BS),2019,14
ANTH,BA/BS,Anthropology (BA),2019,22
ANTH,BA/BS,Anthropology (BS),2018,15
ANTH,BA/BS,Anthropology (BA),2018,24
ANTH,BA/BS,Anthropology (BS),2017,15
ANTH,BA/BS,Anthropology (BA),2017,34
ANTH,BA/BS,Anthropology (BS),2016,16
ANTH,BA/BS,Anthropology (BA),2016,32
ANTH,BA/BS,Anthropology (BS),2015,17
ANTH,BA/BS,Anthropology (BA),2015,44
ANTH,BS,Anthropology (BS),2024,21
ANTH,BS,Anthropology (BS),2023,15
ANTH,BS,Anthropology (BS),2022,17
ANTH,MA,Anthropology (MA),2024,18
ANTH,MA,Anthropology (MA),2023,20
ANTH,MA,Anthropology (MA),2022,20
ANTH,MA,Anthropology (MA),2021,21
ANTH,MA,Anthropology (MA),2020,9
ANTH,MA,Anthropology (MA),2019,10
ANTH,MA,Anthropology (MA),2018,16
ANTH,MA,Anthropology (MA),2017,27
ANTH,MA,Anthropology (MA),2016,23
ANTH,MA,Anthropology (MA),2015,31
BIOS,BS,Biological Sciences (BS),2024,379
BIOS,BS,Biological Sciences - Secondary Teaching (BS),2024,1
BIOS,BS,Biological Sciences (BS),2023,401
BIOS,BS,Biological Sciences (BS),2022,366
BIOS,BS,Biological Sciences (BS),2021,410
BIOS,BS,Biological Sciences (BS),2020,405
BIOS,BS,Biological Sciences (BS),2019,430
BIOS,BS,Biological Sciences (BS),2018,521
BIOS,BS,Biological Sciences (BS),2017,562
BIOS,BS,Biological Sciences (BS),2016,558
BIOS,BS,Biological Sciences (BS),2015,611
BIOS,MS,Biological Sciences (MS),2024,11
BIOS,MS,Biological Sciences - Human Anatomical Sciences (MS),2024,7
BIOS,MS,Biological Sciences (MS),2023,10
BIOS,MS,Biological Sciences - Human Anatomical Sciences (MS),2023,5
BIOS,MS,Biological Sciences (MS),2022,9
BIOS,MS,Biological Sciences - Human Anatomical Sciences (MS),2022,5
BIOS,MS,Biological Sciences (MS),2021,15
BIOS,MS,Biological Sciences - Human Anatomical Sciences (MS),2021,3
BIOS,MS,Biology Teaching (MS),2020,2
BIOS,MS,Biological Sciences (MS),2020,18
BIOS,MS,Biological Sciences - Human Anatomical Sciences (MS),2020,1
BIOS,MS,Biological Sciences - Bioinformatics (MS),2020,1
BIOS,MS,Biology Teaching (MS),2019,2
BIOS,MS,Biological Sciences (MS),2019,12
BIOS,MS,Biological Sciences - Human Anatomical Sciences (MS),2019,4
BIOS,MS,Biological Sciences - Bioinformatics (MS),2019,1
BIOS,MS,Biology Teaching (MS),2018,2
BIOS,MS,Biological Sciences (MS),2018,15
BIOS,MS,Biological Sciences - Human Anatomical Sciences (MS),2018,6
BIOS,MS,Biological Sciences - Bioinformatics (MS),2018,3
BIOS,MS,Biology Teaching (MS),2017,1
BIOS,MS,Biological Sciences (MS),2017,25
BIOS,MS,Biological Sciences - Human Anatomical Sciences (MS),2017,6
BIOS,MS,Biological Sciences - Bioinformatics (MS),2017,3
