Semester,Crsenum,Cscredit
SUMMER2024,700,13
SUMMER2023,700,8
SUMMER2022,700,5
SUMMER2021,700,4
SUMMER2020,700,6
SUMMER2019,700,9
SUMMER2018,700,7
SPRING2025,700,81
SPRING2024,700,80
SPRING2023,700,88
SPRING2022,700,99
SPRING2021,700,95
SPRING2020,700,39
SPRING2019,700,145
FALL2024,700,115
FALL2023,700,86
FALL2022,700,121
FALL2021,700,151
FALL2020,700,145
FALL2019,700,79
FALL2018,700,97
SPRING2025,600,100
SPRING2024,600,56
SPRING2023,600,89
SPRING2022,600,98
SPRING2021,600,145
SPRING2020,600,134
SPRING2019,600,50
FALL2024,600,45
FALL2023,600,45
FALL2022,600,24
FALL2021,600,42
FALL2020,600,42
FALL2019,600,78
FALL2018,600,93
SPRING2025,500,18
SPRING2024,500,27
SPRING2023,500,3
SPRING2022,500,21
SPRING2021,500,12
SPRING2020,500,24
SPRING2019,500,6
FALL2024,500,51
FALL2023,500,30
FALL2022,500,15
FALL2021,500,48
FALL2020,500,57
FALL2019,500,60
FALL2018,500,51
SUMMER2024,400,3
SUMMER2023,400,3
SUMMER2022,400,3
SUMMER2021,400,3
SUMMER2020,400,1
SUMMER2019,400,3
SUMMER2018,400,3
SPRING2025,400,90
SPRING2024,400,66
SPRING2023,400,42
SPRING2022,400,66
SPRING2021,400,114
SPRING2020,400,117
SPRING2019,400,105
FALL2024,400,66
FALL2023,400,24
FALL2022,400,45
FALL2021,400,102
FALL2020,400,45
FALL2019,400,42
FALL2018,400,72
SUMMER2023,300,24
SUMMER2022,300,48
SUMMER2021,300,69
SUMMER2020,300,54
SUMMER2019,300,51
SUMMER2018,300,45
SPRING2025,300,360
SPRING2024,300,357
SPRING2023,300,439
SPRING2022,300,430
SPRING2021,300,630
SPRING2020,300,617
SPRING2019,300,762
FALL2024,300,359
FALL2023,300,438
FALL2022,300,469
FALL2021,300,446
FALL2020,300,656
FALL2019,300,617
FALL2018,300,785
SUMMER2024,200,219
SUMMER2023,200,177
SUMMER2022,200,216
SUMMER2021,200,192
SUMMER2020,200,150
SPRING2025,200,1308
SPRING2024,200,1458
SPRING2023,200,1422
SPRING2022,200,1585
SPRING2021,200,1559
SPRING2020,200,1453
SPRING2019,200,1635
FALL2024,200,1665
FALL2023,200,1688
FALL2022,200,1726
FALL2021,200,2051
FALL2020,200,1971
FALL2019,200,1678
FALL2018,200,1941
SPRING2025,100,147
SPRING2024,100,207
SPRING2021,100,99
SPRING2020,100,108
SPRING2019,100,156
FALL2023,100,141
FALL2021,100,75
FALL2020,100,150
FALL2019,100,147
FALL2018,100,144
