Semester,Weeks Prior,Number of Records
Fall 2024,-1,110
Fall 2023,-1,95
Fall 2022,-1,91
Fall 2024,0,109
Fall 2023,0,92
Fall 2022,0,85
Fall 2024,1,105
Fall 2023,1,88
Fall 2022,1,80
Fall 2024,2,99
Fall 2023,2,80
Fall 2022,2,77
Fall 2024,3,94
Fall 2023,3,75
Fall 2022,3,70
Fall 2024,4,87
Fall 2023,4,69
Fall 2022,4,68
Fall 2024,5,84
Fall 2023,5,67
Fall 2022,5,68
Fall 2024,6,83
Fall 2023,6,65
Fall 2022,6,66
Fall 2024,7,73
Fall 2023,7,61
Fall 2022,7,63
Fall 2024,8,73
Fall 2023,8,59
Fall 2022,8,60
Fall 2024,9,72
Fall 2023,9,55
Fall 2022,9,61
Fall 2024,10,68
Fall 2023,10,51
Fall 2022,10,58
Fall 2024,11,66
Fall 2023,11,51
Fall 2022,11,58
Fall 2024,12,66
Fall 2023,12,48
Fall 2022,12,57
Fall 2024,13,63
Fall 2023,13,48
Fall 2022,13,54
Fall 2024,14,62
Fall 2023,14,46
Fall 2022,14,49
Fall 2024,15,62
Fall 2023,15,40
Fall 2022,15,44
Fall 2024,16,57
Fall 2023,16,39
Fall 2022,16,42
Fall 2024,17,54
Fall 2023,17,37
Fall 2022,17,38
Fall 2024,18,49
Fall 2023,18,35
Fall 2022,18,37
Fall 2024,19,39
Fall 2023,19,31
Fall 2022,19,25
Fall 2024,20,30
Fall 2023,20,18
