Class,Cat,Fall 2022,Fall 2023,Fall 2024
Freshman 0-29.99 Hours,Number Enrolled,13,10,12
Freshman 0-29.99 Hours,Enrolled Credit Hours,186,145,180
Sophomore 30-59.99 Hours,Number Enrolled,7,13,13
Sophomore 30-59.99 Hours,Enrolled Credit Hours,99,180,196
Junior 60-89.99 Hours,Number Enrolled,17,21,27
Junior 60-89.99 Hours,Enrolled Credit Hours,233,284,381
Senior 90 or more hours,Number Enrolled,31,27,34
Senior 90 or more hours,Enrolled Credit Hours,408,353,392
Graduate Masters,Number Enrolled,9,9,2
Graduate Masters,Enrolled Credit Hours,93,74,17
Graduate Doctoral,Number Enrolled,14,15,22
Graduate Doctoral,Enrolled Credit Hours,122.5,135,182.5
Grand Total,Number Enrolled,91,95,110
Grand Total,Enrolled Credit Hours,"1,141.50","1,171","1,348.50"
