Department,Degree,Major and Degree,Fiscal Year,Count of Sheet1
ACCY,BS,Accountancy (MULTBS),2025,1
ACCY,BS,Accountancy (BS),2025,96
ACCY,BS,Accountancy (BS),2024,104
ACCY,BS,Accountancy (BS),2023,83
ACCY,BS,Accountancy (MULTBS),2022,3
ACCY,BS,Accountancy (BS),2022,119
ACCY,BS,Accountancy (MULTBS),2021,4
ACCY,BS,Accountancy (BS),2021,134
ACCY,BS,Accountancy (MULTBS),2020,6
ACCY,BS,Accountancy (BS),2020,155
ACCY,BS,Accountancy (MULTBS),2019,3
ACCY,BS,Accountancy (BS),2019,164
ACCY,BS,Accountancy (MULTBS),2018,1
ACCY,BS,Accountancy (BS),2018,214
ACCY,BS,Accountancy (MULTBS),2017,1
ACCY,BS,Accountancy (BS),2017,195
ACCY,BS,Accountancy (BS),2016,153
ACCY,BS,Accountancy (BS),2015,167
ACCY,MAC,Accountancy (MAC),2025,20
ACCY,MAC,Accountancy (MAC),2024,26
ACCY,MAC,Accountancy (MAC),2023,15
ACCY,MAC,Accountancy (MAC),2022,12
ACCY,MAC,Accountancy (MAC),2021,18
ACCY,MAC,Accountancy (MAC),2020,10
ACCY,MAS,Accountancy (MAS),2025,35
ACCY,MAS,Accountancy (MAS),2024,49
ACCY,MAS,Accountancy (MAS),2023,55
ACCY,MAS,Accountancy (MAS),2022,56
ACCY,MAS,Accountancy (MAS),2021,80
ACCY,MAS,Accountancy (MAS),2020,97
ACCY,MAS,Accountancy (MAS),2019,110
ACCY,MAS,Accountancy (MAS),2018,128
ACCY,MAS,Accountancy (MAS),2017,116
ACCY,MAS,Accountancy (MAS),2016,91
ACCY,MAS,Accountancy (MAS),2015,104
ACCY,MST,Taxation (MST),2022,4
ACCY,MST,Taxation (MST),2021,11
ACCY,MST,Taxation (MST),2020,14
ACCY,MST,Taxation (MST),2019,17
ACCY,MST,Taxation (MST),2018,10
ACCY,MST,Taxation (MST),2017,24
ACCY,MST,Taxation (MST),2016,30
ACCY,MST,Taxation (MST),2015,19
ACCY,MULTBS,Accountancy (MULTBS),2016,1
AHP,AUD,Audiology (AUD),2025,6
AHP,AUD,Audiology (AUD),2024,5
AHP,AUD,Audiology (AUD),2023,6
AHP,AUD,Audiology (AUD),2022,4
AHP,AUD,Audiology (AUD),2021,7
AHP,AUD,Audiology (AUD),2020,5
AHP,AUD,Audiology (AUD),2019,8
AHP,AUD,Audiology (AUD),2018,10
AHP,AUD,Audiology (AUD),2017,8
AHP,AUD,Audiology (AUD),2016,6
AHP,AUD,Audiology (AUD),2015,7
AHP,BS,Communicative Disorders (BS),2025,25
AHP,BS,Communicative Disorders (BS),2024,27
AHP,BS,Communicative Disorders (MULTBS),2023,1
AHP,BS,Communicative Disorders (BS),2023,40
AHP,BS,Communicative Disorders (BS),2022,47
AHP,BS,Communicative Disorders (BS),2021,33
AHP,BS,Communicative Disorders (BS),2020,34
AHP,BS,Communicative Disorders (BS),2019,41
AHP,BS,Rehabilitation and Disability Services (BS),2018,109
AHP,BS,Health Sciences: General (BS),2018,1
AHP,BS,Health Sciences: Degree Completion (BS),2018,3
AHP,BS,Health Sciences - Pre-Physical Therapy (BS),2018,77
AHP,BS,Communicative Disorders (BS),2018,46
AHP,BS,Rehabilitation and Disability Services (BS),2017,111
AHP,BS,Medical Laboratory Sciences (BS),2017,29
AHP,BS,Health Sciences - Pre-Physical Therapy (BS),2017,68
AHP,BS,Communicative Disorders (BS),2017,49
AHP,BS,Rehabilitation and Disability Services (BS),2016,91
AHP,BS,Medical Laboratory Sciences (BS),2016,27
AHP,BS,Health Sciences (BS),2016,1
AHP,BS,Health Sciences - Pre-Physical Therapy (BS),2016,95
AHP,BS,Communicative Disorders (BS),2016,54
AHP,BS,Rehabilitation and Disability Services (BS),2015,83
AHP,BS,Medical Laboratory Sciences (BS),2015,27
AHP,BS,Health Sciences - Pre-Physical Therapy (BS),2015,91
AHP,BS,Communicative Disorders (BS),2015,60
AHP,DPT,Physical Therapy (DPT),2025,28
AHP,DPT,Physical Therapy (DPT),2024,24
AHP,DPT,Physical Therapy (DPT),2023,32
AHP,DPT,Physical Therapy (DPT),2022,33
AHP,DPT,Physical Therapy (DPT),2021,24
AHP,DPT,Physical Therapy (DPT),2020,33
AHP,DPT,Physical Therapy (DPT),2019,30
AHP,DPT,Physical Therapy (DPT),2018,33
AHP,DPT,Physical Therapy (DPT),2017,32
AHP,DPT,Physical Therapy (DPT),2016,35
AHP,DPT,Physical Therapy (DPT),2015,37
AHP,MA,Communicative Disorders - Speech-Language Pathology (MA),2025,21
AHP,MA,Communicative Disorders - Speech-Language Pathology (MA),2024,23
AHP,MA,Communicative Disorders - Speech-Language Pathology (MA),2023,15
AHP,MA,Communicative Disorders - Speech-Language Pathology (MA),2022,20
