Acadept,Degname,Major,Acad Yr,Count of OSIR
,,,2025,1
,,,2024,2
,,,2023,1
,,,2022,3
,,,2021,6
,,,2020,24
,,,2019,9
,,,2017,1
,,,2016,32
ACCY,BS,Accountancy (BS),2025,487
ACCY,BS,Accountancy (BS),2024,416
ACCY,BS,Accountancy (BS),2023,393
ACCY,BS,Accountancy (BS),2022,410
ACCY,BS,Accountancy (BS),2021,449
ACCY,BS,Accountancy (BS),2020,471
ACCY,BS,Accountancy (BS),2019,525
ACCY,BS,Accountancy (BS),2018,609
ACCY,BS,Accountancy (BS),2017,671
ACCY,BS,Accountancy (BS),2016,741
ACCY,MAC,Accountancy (MAC),2025,64
ACCY,MAC,Accountancy (MAC),2024,53
ACCY,MAC,Accountancy (MAC),2023,59
ACCY,MAC,Accountancy (MAC),2022,60
ACCY,MAC,Accountancy (MAC),2021,67
ACCY,MAC,Accountancy (MAC),2020,47
ACCY,MAC,Accountancy (MAC),2019,34
ACCY,MAC,Accountancy (MAC),2018,24
ACCY,MAC,Accountancy (MAC),2017,15
ACCY,MAS,Accountancy (MAS),2025,34
ACCY,MAS,Accountancy (MAS),2024,42
ACCY,MAS,Accountancy (MAS),2023,47
ACCY,MAS,Accountancy (MAS),2022,62
ACCY,MAS,Accountancy (MAS),2021,65
ACCY,MAS,Accountancy (MAS),2020,100
ACCY,MAS,Accountancy (MAS),2019,112
ACCY,MAS,Accountancy (MAS),2018,135
ACCY,MAS,Accountancy (MAS),2017,158
ACCY,MAS,Accountancy (MAS),2016,154
ACCY,MST,Taxation (MST),2020,7
ACCY,MST,Taxation (MST),2019,20
ACCY,MST,Taxation (MST),2018,41
ACCY,MST,Taxation (MST),2017,49
ACCY,MST,Taxation (MST),2016,56
AHCD,AUD,Audiology (AUD),2025,20
AHCD,AUD,Audiology (AUD),2024,14
AHCD,AUD,Audiology (AUD),2023,17
AHCD,AUD,Audiology (AUD),2022,25
AHCD,AUD,Audiology (AUD),2021,28
AHCD,AUD,Audiology (AUD),2020,25
AHCD,AUD,Audiology (AUD),2019,23
AHCD,AUD,Audiology (AUD),2018,29
AHCD,AUD,Audiology (AUD),2017,33
AHCD,AUD,Audiology (AUD),2016,32
AHCD,BS,Communicative Disorders (BS),2025,81
AHCD,BS,Communicative Disorders (BS),2024,88
AHCD,BS,Communicative Disorders (BS),2023,87
AHCD,BS,Communicative Disorders (BS),2022,106
AHCD,BS,Communicative Disorders (BS),2021,138
AHCD,BS,Communicative Disorders (BS),2020,153
AHCD,BS,Communicative Disorders (BS),2019,137
AHCD,BS,Communicative Disorders (BS),2018,141
AHCD,BS,Communicative Disorders (BS),2017,146
AHCD,BS,Communicative Disorders (BS),2016,159
AHCD,DPT,Physical Therapy (DPT),2025,78
AHCD,DPT,Physical Therapy (DPT),2024,85
AHCD,DPT,Physical Therapy (DPT),2023,75
AHCD,DPT,Physical Therapy (DPT),2022,83
AHCD,DPT,Physical Therapy (DPT),2021,90
AHCD,DPT,Physical Therapy (DPT),2020,94
AHCD,DPT,Physical Therapy (DPT),2019,94
AHCD,DPT,Physical Therapy (DPT),2018,96
AHCD,DPT,Physical Therapy (DPT),2017,104
AHCD,DPT,Physical Therapy (DPT),2016,101
AHCD,MA,Communicative Disorders - Speech-Language Pathology (MA),2025,57
AHCD,MA,Communicative Disorders - Speech-Language Pathology (MA),2024,44
AHCD,MA,Communicative Disorders - Speech-Language Pathology (MA),2023,44
AHCD,MA,Communicative Disorders - Speech-Language Pathology (MA),2022,44
AHCD,MA,Communicative Disorders - Speech-Language Pathology (MA),2021,40
AHCD,MA,Communicative Disorders - Speech-Language Pathology (MA),2020,41
AHCD,MA,Communicative Disorders - Speech-Language Pathology (MA),2019,45
AHCD,MA,Communicative Disorders - Speech-Language Pathology (MA),2018,48
AHCD,MA,Communicative Disorders - Speech-Language Pathology (MA),2017,47
AHCD,MA,Communicative Disorders - Rehabilitation Counseling (MA),2017,4
AHCD,MA,Communicative Disorders - Speech-Language Pathology (MA),2016,42
