Dept,Major,2010,2011,2012,2013,2014,2015,Degree
ACCY,Accountancy,213,172,196,158,189,167,Bachelor
CBUS,Business Administration,153,160,122,103,97,78,Bachelor
FINA,Finance,140,110,110,110,69,64,Bachelor
MGMT,Management,105,74,62,60,59,52,Bachelor
MKTG,Marketing,195,142,152,144,118,76,Bachelor
OMIS,Operations Mgmt & Info Systems,52,76,78,73,82,83,Bachelor
KNPE,Kinesiology & Physical Education,129,123,136,119,111,100,Bachelor
LTCY,Literacy Education,0,0,0,141,95,91,Bachelor
TLRN,Special and Early Education  (Formally TLRN),0,0,282,108,87,71,Bachelor
TLRM,Teaching and Learning,327,264,0,0,0,0,Bachelor
CEDU,General Studies/Contract Major,4,5,5,5,0,6,Bachelor
ELE,Electrical Engineering,46,30,35,43,60,45,Bachelor
ISYE,Industrial and Systems Engineering,18,14,16,14,21,22,Bachelor
MEE,Mechanical Engineering,57,67,70,65,79,77,Bachelor
TECH,Technology,75,63,76,75,65,80,Bachelor
CEET,E & ET Contract Major,1,0,1,0,1,0,Bachelor
AHP,Allied Health & Communicative Disorders,0,0,209,262,249,262,Bachelor
AHP,Allied Health Professions,209,266,0,0,0,0,Bachelor
AHP,Communicative Disorders,84,70,0,0,0,0,Bachelor
FACS,Family Consumer & Nutrition Sci,259,243,240,255,239,255,Bachelor
NURS,Nursing,181,187,310,326,322,299,Bachelor
CHHS,General Studies,6,5,10,13,12,17,Bachelor
ANTH,Anthropology,29,30,22,25,18,18,Bachelor
BIOS,Biological Sciences,148,115,119,134,100,115,Bachelor
CHEM,Chemistry & BioChemistry,27,20,43,25,48,22,Bachelor
COMS,Communication Studies,356,339,284,303,306,270,Bachelor
CSCI,Computer Science,69,69,83,74,64,80,Bachelor
ECON,Economics,79,86,81,58,56,69,Bachelor
ENGL,English,133,141,129,112,96,87,Bachelor
ENVS,Environmental Studies,0,0,0,8,22,23,Bachelor
FLWC,Foreign Lang. & Literature,61,44,48,56,48,52,Bachelor
EAE,Geography,52,68,47,45,29,37,Bachelor
EAE,Geology & Envir. Geosciences,22,19,25,15,25,26,Bachelor
HIST,History,129,115,104,66,58,70,Bachelor
MATH,Mathematical Sciences,59,64,62,78,55,55,Bachelor
NNGO,NGOLD,0,0,0,6,11,18,Bachelor
PHIL,Philosophy,21,16,20,9,20,14,Bachelor
PHYS,Physics,11,8,4,1,10,17,Bachelor
POLS,Political Science,126,134,145,138,119,113,Bachelor
PSYC,Psychology,247,222,253,243,226,213,Bachelor
SOCI,Sociology,148,149,134,136,141,103,Bachelor
CLAS,General Studies/Contract Major,89,99,75,73,92,83,Bachelor
ART,Art,159,101,125,150,127,122,Bachelor
MUSC,Music,48,30,35,33,38,23,Bachelor
THEA,Theatre Arts,33,35,21,28,34,23,Bachelor
CVPA,General Studies/Contract Major,4,4,3,1,7,4,Bachelor
NIU,UNIVERSITY TOTAL,4304,3979,3972,3893,3709,3507,Bachelor
ACCY,Accountancy,171,138,137,129,139,123,Masters
CBUS,Business Administration,195,189,235,228,240,275,Masters
FINA,Finance,0,0,0,0,0,0,Masters
MGMT,Management,0,0,0,0,0,0,Masters
MRTG,Marketing,0,0,0,0,0,0,Masters
OMIS,Operations Mgmt & Info Systems,27,33,26,37,36,53,Masters
CAHE,"Counseling, Adult & Health Education",83,58,89,73,72,79,Masters
LEPF,Educational Psychology & Foundations,115,81,0,0,0,0,Masters
ETRA,"Educ Technology, Research & Assessment",49,34,47,40,35,40,Masters
KNPE,Kinesiology & Physical Education,64,55,58,52,56,61,Masters
LEPF,Leadership in Educational & Sports Orgs,0,0,0,0,0,0,Masters
LEPF,"Leadership, Educational Psychology & Foundations",0,0,96,90,95,42,Masters
LTCY,Literacy Education,47,105,89,44,70,31,Masters
TLRN,Special and Early Education,0,0,96,59,54,59,Masters
TLRN,Teaching and Learning,208,184,0,0,0,0,Masters
ELE,Electrical Engineering,18,27,26,19,18,30,Masters
ISYE,Industrial and systems Engineering,25,33,16,12,26,39,Masters
MEE,Mechanical Engineering,20,30,22,14,19,39,Masters
TECH,Technology,15,28,33,14,17,13,Masters
CLAW,LAW,99,87,88,116,97,100,Masters
ANTH,Anthropology,13,12,17,16,10,14,Masters
