COLLEGE,"DEPART
MENT",Major,DEGREE,F2010,F2011,F2012,F2013,F2014,F2015
COB,ACCY,ACCOUNTANCY,Bachelor,883,818,742,764,719,755
COB,ACCY,ACCOUNTANCY,MAS,176,145,129,139,133,146
COB,ACCY,TAXATION,MST,60,58,56,55,55,57
CHHS,AHCD,AUDIOLOGY,AUD,34,34,38,32,34,38
CHHS,AHCD,Communicative Disorders - Rehabilitation Counseling (MA),MA,22,29,23,18,15,14
CHHS,AHCD,Communicative Disorders - Speech-Language Pathology (MA),MA,60,66,51,41,38,37
CHHS,AHCD,HEALTH SCIENCES,Bachelor,35,2,1,1,0,2
CHHS,AHCD,HEALTH SCI-PRE-PHYSICAL THERAPY,Bachelor,443,514,558,511,480,419
CHHS,AHCD,MEDICAL LABORATORY SCIENCE,Bachelor,64,58,64,64,57,62
CHHS,AHCD,PHYSICAL THERAPY,DPT,34,78,133,128,109,102
CHHS,AHCD,PHYSICAL THERAPY,MPT,37,35,0,0,0,0
CHHS,AHCD,PRE-CLINICAL LABORATORY SCIENC,N/A,46,64,54,40,46,61
CHHS,AHCD,REHABILITATION SERVICES,Bachelor,70,102,131,163,195,216
CHHS,AHCD,SPEECH LANG PATH/AUDIOLOGY,Bachelor,190,196,201,198,195,173
CLAS,ANTH,ANTHROPOLOGY,Bachelor,91,86,84,71,68,61
CLAS,ANTH,ANTHROPOLOGY,MA,45,47,47,36,34,31
CVPA,ART,ART,Bachelor,32,36,23,21,51,52
CVPA,ART,ART,MFA,52,50,42,33,37,33
CVPA,ART,ART - ART HISTORY,MA,11,13,11,9,4,4
CVPA,ART,ART - STUDIO ART,MA,3,5,5,3,2,5
CVPA,ART,ART EDUCATION,BachelorED,135,128,107,100,90,66
CVPA,ART,ART EDUCATION,MS,18,22,11,7,3,14
CVPA,ART,ART EDUCATION,PHD,10,9,10,12,13,16
CVPA,ART,Art History,Bachelor,28,24,20,18,11,9
CVPA,ART,FINE ARTS - 2-D STUDIO,BFA,166,165,177,156,116,112
CVPA,ART,FINE ARTS - 3-D STUDIO,BFA,36,37,45,37,22,14
CVPA,ART,STUDIO ART - DESIGN & Media Arts,BFA,234,230,230,209,191,161
CLAS,BIOS,BIOINFORMATICS,MS,3,5,2,2,1,0
CLAS,BIOS,BIOLOGICAL SCIENCES,Bachelor,650,614,592,610,606,611
CLAS,BIOS,BIOLOGICAL SCIENCES,MS,63,56,25,37,33,32
CLAS,BIOS,BIOLOGICAL SCIENCES,PHD,23,22,29,29,28,30
CLAS,BIOS,BIOLOGY TEACHING,MS,0,1,0,0,1,1
CLAS,BIOS,HUMAN ANATOMICAL SCIENCES,MS,0,2,5,4,4,7
CEDU,CAHE,ADULT AND HIGHER EDUCATION,EDD,167,151,146,136,123,102
CEDU,CAHE,ADULT AND HIGHER EDUCATION,MSED,74,85,74,77,56,62
CEDU,CAHE,ADULT CONTINUING EDUCATION,EDD,3,4,3,2,2,2
CEDU,CAHE,COUNSELING,MSED,117,145,122,126,123,123
CEDU,CAHE,COUNSELOR EDUCATION & SUPERVIS,EDD,30,29,25,32,36,34
COB,CBUS,BUSINESS ADMINISTRATION,Bachelor,699,684,643,592,630,558
COB,CBUS,BUSINESS ADMINISTRATION,MBachelor,543,568,531,576,584,515
COB,CBUS,UNDECLARED BUSINESS,N/A,323,244,236,179,182,143
CEDU,CEDU,EDU-GENERAL STUDIES-CONTRACT,Bachelor,1,1,0,0,1,2
CEDU,CEDU,UNDECIDED EDUCATION,N/A,33,30,31,22,21,21
CEET,CEET,ENGR & ENGR TECH MAJOR CONTRACT,Bachelor,1,1,0,0,0,0
CEET,CEET,ENGR & ENGR TECH MAJOR CONTRACT,Bachelor,0,1,0,0,0,0
CEET,CEET,UNDECIDED E&ET,N/A,31,73,87,76,51,78
CLAS,CHEM,CHEMISTRY,Bachelor,58,71,54,69,79,72
CLAS,CHEM,CHEMISTRY,MS,17,11,8,10,7,9
CLAS,CHEM,CHEMISTRY,PHD,27,33,34,32,37,35
CLAS,CHEM,CHEMISTRY FOR PREPROFESSIONAL,Bachelor,40,37,29,24,30,34
CLAS,CHEM,CHEMISTRY-BIOCHEMISTRY,Bachelor,95,100,87,86,80,80
CLAS,CHEM,CHEMISTRY-ENVIRO SCI TEACHING,Bachelor,1,1,1,0,0,0
CLAS,CHEM,CHEMISTRY-SECONDARY TEACHING,Bachelor,14,11,13,13,7,18
CLAS,CHEM,NANOSCIENCE,PHD,0,0,2,2,3,2
CHHS,CHHS,GENERAL STUDIES,Bachelor,1,0,0,0,0,0
CHHS,CHHS,HEALTH AND HUMAN SCI BGS,Bachelor,20,25,35,40,32,29
CHHS,CHHS,HEALTH AND HUMAN SCI CONTRACT MA,Bachelor,0,0,0,0,1,1
CHHS,CHHS,Health Sciences,PHD,-,-,-,-,-,15
CHHS,CHHS,UNDECLARED H&HS,N/A,60,48,43,41,38,26
CLAS,CLAS,GENERAL EMPHASIS,Bachelor,164,155,147,150,145,128
CLAS,CLAS,LIBERAL ARTS & SCIENCE CONTRACT,Bachelor,1,1,4,1,0,0
CLAS,CLAS,UNDECIDED LA&S,N/A,410,383,340,334,320,259
CLAS,CLAS,VISITING STUDENT,N/A,30,35,30,32,44,75
CLAW,CLAW,LAW,JD,330,319,333,304,276,253
CLAS,COMS,COMMUNICATION STUDIES,MA,52,39,39,36,35,31
CLAS,COMS,COMS-MEDIA STUDIES,Bachelor,76,72,100,229,236,217
CLAS,COMS,COMS-ORGANIZATIONAL/CORPORA.,Bachelor,142,131,130,364,379,371
CLAS,COMS,JOURNALISM,Bachelor,195,209,206,166,147,119
CLAS,COMS,PRE-COMMUNICATION STUDIES,N/A,491,441,405,33,13,7
CLAS,COMS,RHETORIC/PUBLIC COMMUNICATION,Bachelor,18,17,11,51,48,60
CLAS,CSCI,APPLIED MANAGEMENT-COMPSCIENCE,Bachelor,1,2,1,3,2,0
CLAS,CSCI,COMPUTATIONAL SOFTWARE,Bachelor,20,23,22,21,30,35
CLAS,CSCI,COMPUTER SCIENCE,MS,118,106,112,193,260,235
CLAS,CSCI,ENTERPRISE SOFTWARE,Bachelor,48,65,57,62,66,77
CLAS,CSCI,PRE-COMPUTER SCIENCE,N/A,239,261,261,300,314,320
CLAS,CSCI,SOFTWARE DEVELOPMENT,Bachelor,54,59,61,68,108,129
CVPA,CVPA,GENERAL STUDIES - CONTRACT,Bachelor,1,0,0,0,1,0
CVPA,CVPA,UNDECIDED V&PA,N/A,1,2,3,0,0,0
CVPA,CVPA,VISUAL & PERFORM ARTS CONTRACT,Bachelor,1,0,2,1,2,2
CLAS,EAE,EARTH SCIENCE EDUCATION,Bachelor,20,15,13,8,9,5
CLAS,EAE,ENVIRONMENTAL GEOSCIENCES,Bachelor,39,31,39,32,20,16
CLAS,EAE,GEOGRAPHY,Bachelor,97,65,57,33,35,31
CLAS,EAE,GEOGRAPHY,MS,30,35,24,24,24,24
CLAS,EAE,GEOGRAPHY,PHD,5,6,8,10,12,11
CLAS,EAE,GEOGRAPHY-GEOMATICS,Bachelor,0,0,0,0,2,9
CLAS,EAE,GEOLOGY,Bachelor,37,49,46,41,28,30
CLAS,EAE,GEOLOGY,MS,34,30,32,34,34,34
CLAS,EAE,GEOLOGY,PHD,7,5,6,4,4,3
CLAS,EAE,METEOROLOGY,Bachelor,100,91,90,68,70,60
CLAS,ECON,ECONOMICS,Bachelor,189,160,149,145,152,135
CLAS,ECON,ECONOMICS,MA,15,3,3,3,2,7
CLAS,ECON,ECONOMICS,PHD,28,37,33,30,29,29
CEET,ELE,BIOMEDICAL ENGINEERING,Bachelor,38,52,64,77,84,77
CEET,ELE,ELECTRICAL AND COMPUTER ENGR,Bachelor,172,197,232,241,256,270
CEET,ELE,ELECTRICAL ENGINEERING,Bachelor,102,73,56,36,36,25
CEET,ELE,ELECTRICAL ENGINEERING,MS,70,53,49,61,79,50
CLAS,ENGL,ENGLISH,Bachelor,471,435,359,295,262,232
CLAS,ENGL,ENGLISH,MA,80,76,57,55,49,46
CLAS,ENGL,ENGLISH,PHD,61,59,56,57,61,62
CLAS,ENVS,ENVIRONMENTAL STUDIES,Bachelor,0,0,42,100,106,135
CEDU,ETRA,EDUC RESEARCH & EVALUATION,MS,10,6,6,9,7,7
CEDU,ETRA,INSTRUCTIONAL TECHNOLOGY,EDD,70,78,88,96,91,98
CEDU,ETRA,INSTRUCTIONAL TECHNOLOGY,MSED,57,73,61,81,91,78
CHHS,FCNS,APPAREL STUDIES,MS,0,0,2,0,0,0
CHHS,FCNS,APPLD FAMILY & CHILD STUDES,MS,37,25,23,13,11,14
CHHS,FCNS,CHILD DEVELOPMENT,Bachelor,71,65,74,76,59,58
CHHS,FCNS,EARLY CHILD STUD-TYPE 04 CERT,Bachelor,6,8,4,3,6,10
CHHS,FCNS,FAMILY & INDIVIDUAL DEVEL,Bachelor,66,80,81,101,65,53
CHHS,FCNS,FAMILY SOCIAL SERVICES,Bachelor,63,59,76,67,62,57
CHHS,FCNS,HOSPITALITY ADMIN,Bachelor,111,120,110,100,88,86
CHHS,FCNS,MARRIAGE AND FAMILY THERAPY,MS,10,18,20,25,21,16
CHHS,FCNS,"NURTITION, HEALTH, & WELLNESS",Bachelor,168,167,165,165,188,167
CHHS,FCNS,NUTRITION AND DIETETICS,MS,31,39,37,48,46,39
CHHS,FCNS,PRE-EARLY CHILDHOOD STUDIES,N/A,47,38,28,28,22,27
CHHS,FCNS,"PRE-FAMILY, CONSUM & NUTR SCI",N/A,195,214,210,158,145,187
CHHS,FCNS,"TEXTILES, APPAREL & MERCHANDIS",Bachelor,112,105,86,76,62,56
COB,FINA,FINANCE,Bachelor,348,372,314,258,283,321
CLAS,FWLC,FOREIGN LANGUAGE UNDECIDED,UNDC,0,0,1,0,0,0
CLAS,FWLC,FOREIGN LANGUAGES-FRENCH,MA,5,6,5,4,3,2
CLAS,FWLC,FOREIGN LANGUAGES-SPANISH,MA,20,17,18,14,11,8
CLAS,FWLC,FRENCH -LANGUAGE & LITERATURE,Bachelor,29,22,19,18,11,10
